	Analyser tilførsel til Hålandsvatnet 2023
	Utløp	S	S	S	S			R	R	R	R	Utløp	S	S	S	S			R	R	R	R	Utløp	S	S	S	S			R	R	R	R	Utløp	S	S	S	S			R	R	R	R
	1	2	3	4	5	5b	5c	6	7	8	9	1	2	3	4	5	5b	5c	6	7	8	9	1	2	3	4	5	5b	5c	6	7	8	9	1	2	3	4	5	5b	5c	6	7	8	9

	Suspendert stoff											Tot-P											Fosfat											Tot-N
	mg/l	mg/l	mg/l	mg/l	mg/l	mg/l	mg/l	mg/l	mg/l	mg/l	mg/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l	ug/l
2023-04-13	<2	<2	<2	<2	<2			6,2	<2	<2	<2	21	15	40	45	52			160	69	18	25	5,9	16	40	39	48			130	67	16	21	1400	9400	2200	5900	6100			11000	2300	2800	5900
2023-04-28	<2	<2	<2	<2	<2			<2	<2	<2	<2	25	13	30	17	61			350	35	11	25	8,7	14	30	21	62			300	38	10	9,6	1400	8700	2200	6100	7100			8100	1800	1800	1500
2023-05-11	<2	<2	<2	<2	<2	<2		<2	<2	<2	<2	21	43	120	120	89	16		200	710	120	37	6,4	27	110	85	62	9,5		160	610	67	7,1	1300	21000	5300	9200	9600	5200		22000	4700	2300	1400
2023-05-25	<2	<2	<2	<2	13			37	<2	<2	18	14	17	29	23	88			350	42	12	46	5	16	29	20	88			60	39	13	12	1200	10000	2300	6600	6900			18000	2000	2000	1800
2023-06-08	2,4	<2	3,4	4,8	4,4			19	<2	<2		34	25	29	42	81			580	50	10		5,5	23	24	50	69			540	53	8,4		990	9500	3100	8100	9700			2600	1400	1700
2023-06-26	<2	0	<2	<2	<2		<2	11	<2	<2	0	51		16	110	120		8,8	550	54	19		8,2		16	77	120		6,5	450	55	14		870		2100	11000	15000		1100	23000	1500	1700
2023-07-10	<2	<2	6,5	<2	<2			5,5	<2	<2	5,9	<2	40	97	120	100			180	1200	100	72	1,9	24	74	89	82			150	1100	62	20	700	27000	3600	11000	7600			15000	3900	4200	1200
2023-08-04	5	<2	<2	<2	<2			<2	<2	<2	5,7	44	15	48	42	63			150	93	85	44	10	7,5	37	34	57			120	89	85	15	650	12000	3100	6700	7200			12000	1900	1900	1100
2023-08-21	7,6	<2	<2	<2	<2			<2	<2	<2	9,2	41	23	66	34	66			140	250	36	60	7,6	13	53	28	53			120	210	21	9,2	600	14000	3600	6200	5800			14000	2300	4700	670
2023-09-15	4,6	7,9	5,7	2,6	<2			3,1	2,4	7,1	<2	49	89	54	35	66			100	820	40	29	16	68	53	30	57			81	740	30	6,7	730	10000	3200	6100	6800			14000	2400	4500	620
2023-10-31	<2	<2	<2	<2	<2			3,2	<2	<2	<2	31	14	51	23	45			75	93	27	34	7,6	8,5	43	18	39			60	88	22	21	960	7800	2700	6100	7400			11000	2000	3900	6000
